
step 00127 | loss: 408.940994 | remaining: 299s 
step 00128 | loss: 408.555745 | remaining: 299s 
step 00129 | loss: 408.171204 | remaining: 299s 
step 00130 | loss: 407.787216 | remaining: 299s 
step 00131 | loss: 407.403831 | remaining: 299s 
step 00132 | loss: 407.021068 | remaining: 299s 
step 00133 | loss: 406.638792 | remaining: 299s 
step 00134 | loss: 406.257073 | remaining: 299s 
step 00135 | loss: 405.875912 | remaining: 299s 
step 00136 | loss: 405.495191 | remaining: 299s 
step 00137 | loss: 405.115010 | remaining: 299s 
step 00138 | loss: 404.735262 | remaining: 299s 
step 00139 | loss: 404.356083 | remaining: 299s 
step 00140 | loss: 403.977528 | remaining: 299s 
step 00141 | loss: 403.599714 | remaining: 299s 
step 00142 | loss: 403.222259 | remaining: 299s 
step 00143 | loss: 402.845306 | remaining: 299s 
step 00144 | loss: 402.468878 | remaining: 299s 
step 00145 | loss: 402.093169 | remaining: 299s 
step 00146 | loss: 401.717740 | remaining: 299s 
step 00147 | loss: 401.342779 | remaining: 299s 
step 00148 | loss: 400.968260 | remaining: 299s 
step 00149 | loss: 400.594355 | remaining: 299s 
step 00150 | loss: 400.220806 | remaining: 299s 
step 00151 | loss: 399.847746 | remaining: 299s 
step 00152 | loss: 399.475212 | remaining: 299s 
step 00153 | loss: 399.103031 | remaining: 299s 
step 00154 | loss: 398.731325 | remaining: 299s 
step 00155 | loss: 398.360044 | remaining: 299s 
step 00156 | loss: 397.989237 | remaining: 299s 
step 00157 | loss: 397.618952 | remaining: 299s 
step 00158 | loss: 397.249021 | remaining: 299s 
step 00159 | loss: 396.879540 | remaining: 299s 
step 00160 | loss: 396.510460 | remaining: 299s 
step 00161 | loss: 396.142282 | remaining: 299s 
step 00162 | loss: 395.774983 | remaining: 298s 
step 00163 | loss: 395.408623 | remaining: 298s 
step 00164 | loss: 395.043516 | remaining: 298s 
step 00165 | loss: 394.679561 | remaining: 298s 
step 00166 | loss: 394.316702 | remaining: 298s 
step 00167 | loss: 393.954828 | remaining: 298s 
step 00168 | loss: 393.593942 | remaining: 298s 
step 00169 | loss: 393.233992 | remaining: 298s 
step 00170 | loss: 392.874930 | remaining: 298s 
step 00171 | loss: 392.516752 | remaining: 298s 
step 00172 | loss: 392.159435 | remaining: 298s 
step 00173 | loss: 391.802913 | remaining: 298s 
step 00174 | loss: 391.447126 | remaining: 298s 
step 00175 | loss: 391.092089 | remaining: 298s 
step 00176 | loss: 390.737722 | remaining: 298s 
step 00177 | loss: 390.383998 | remaining: 298s 
step 00178 | loss: 390.030924 | remaining: 298s 
step 00179 | loss: 389.678517 | remaining: 298s 
step 00180 | loss: 389.326762 | remaining: 298s 
step 00181 | loss: 388.975624 | remaining: 298s 
step 00182 | loss: 388.625067 | remaining: 298s 
step 00183 | loss: 388.275089 | remaining: 298s 
step 00184 | loss: 387.925641 | remaining: 298s 
step 00185 | loss: 387.576824 | remaining: 298s 
step 00186 | loss: 387.228861 | remaining: 298s 
step 00187 | loss: 386.881592 | remaining: 298s 
step 00188 | loss: 386.535368 | remaining: 298s 
step 00189 | loss: 386.190117 | remaining: 298s 
step 00190 | loss: 385.845807 | remaining: 298s 
step 00191 | loss: 385.502353 | remaining: 298s 
step 00192 | loss: 385.159718 | remaining: 298s 
step 00193 | loss: 384.817901 | remaining: 298s 
step 00194 | loss: 384.476836 | remaining: 298s 
step 00195 | loss: 384.136470 | remaining: 298s 
step 00196 | loss: 383.796805 | remaining: 298s 
step 00197 | loss: 383.457753 | remaining: 298s 
step 00198 | loss: 383.119334 | remaining: 298s 
step 00199 | loss: 382.781486 | remaining: 298s 
step 00200 | loss: 382.444255 | remaining: 298s 
step 00201 | loss: 382.107604 | remaining: 298s 
step 00202 | loss: 381.771551 | remaining: 298s 
step 00203 | loss: 381.436069 | remaining: 298s 
step 00204 | loss: 381.101134 | remaining: 298s 
step 00205 | loss: 380.766725 | remaining: 298s 
step 00206 | loss: 380.432821 | remaining: 298s 
step 00207 | loss: 380.099404 | remaining: 298s 
step 00208 | loss: 379.766460 | remaining: 298s 
step 00209 | loss: 379.433973 | remaining: 298s 
step 00210 | loss: 379.101947 | remaining: 298s 
step 00211 | loss: 378.770483 | remaining: 298s 
step 00212 | loss: 378.439578 | remaining: 298s 
step 00213 | loss: 378.109405 | remaining: 298s 
step 00214 | loss: 377.779922 | remaining: 298s 
step 00215 | loss: 377.451094 | remaining: 298s 
step 00216 | loss: 377.122886 | remaining: 298s 
step 00217 | loss: 376.795269 | remaining: 298s 
step 00218 | loss: 376.468216 | remaining: 298s 
step 00219 | loss: 376.141703 | remaining: 298s 
step 00220 | loss: 375.815771 | remaining: 298s 
step 00221 | loss: 375.490503 | remaining: 298s 
step 00222 | loss: 375.165860 | remaining: 298s 
step 00223 | loss: 374.841811 | remaining: 298s 
step 00224 | loss: 374.518328 | remaining: 298s 
step 00225 | loss: 374.195386 | remaining: 298s 
step 00226 | loss: 373.872964 | remaining: 298s 
step 00227 | loss: 373.551040 | remaining: 298s 
step 00228 | loss: 373.229604 | remaining: 298s 
step 00229 | loss: 372.908654 | remaining: 298s 
